,title,url,year,width,width_num
0,It's The End Of The World Lyrics,http://www.metrolyrics.com/its-the-end-of-the-world-lyrics-rem.html,2008,width:100%;,100
1,Losing My Religion Lyrics,http://www.metrolyrics.com/losing-my-religion-lyrics-rem.html,2003,width:95.612899266253%;,95
2,The One I Love Lyrics,http://www.metrolyrics.com/the-one-i-love-lyrics-rem.html,2008,width:91.391130959295%;,91
3,Selingkar Kasih Lyrics,http://www.metrolyrics.com/selingkar-kasih-lyrics-rem.html,2010,width:79.712207337326%;,79
4,Man On The Moon Lyrics,http://www.metrolyrics.com/man-on-the-moon-lyrics-rem.html,2003,width:78.244680896031%;,78
5,The Sidewinder Sleeps Tonight Lyrics,http://www.metrolyrics.com/the-sidewinder-sleeps-tonight-lyrics-rem.html,2006,width:73.049200785492%;,73
6,Nightswimming Lyrics,http://www.metrolyrics.com/nightswimming-lyrics-rem.html,2003,width:69.830912397378%;,69
7,Everybody Hurts Lyrics,http://www.metrolyrics.com/everybody-hurts-lyrics-rem.html,2003,width:67.35236364719%;,67
8,Fall On Me Lyrics,http://www.metrolyrics.com/fall-on-me-lyrics-rem.html,2011,width:62.933553467377%;,62
9,It's The End Of The World As We Know It (and I Feel Fine) Lyrics,http://www.metrolyrics.com/its-the-end-of-the-world-as-we-know-it-and-i-feel-fine-lyrics-rem.html,2014,width:57.236716329075%;,57
10,Orange Crush Lyrics,http://www.metrolyrics.com/orange-crush-lyrics-rem.html,2003,width:57.236716329075%;,57
11,"What's The Frequency, Kenneth? Lyrics",http://www.metrolyrics.com/whats-the-frequency-kenneth-lyrics-rem.html,2003,width:53.626285526054%;,53
12,Everbody Hurts Lyrics,http://www.metrolyrics.com/everbody-hurts-lyrics-rem.html,2006,width:53.626285526054%;,53
13,Radio Free Europe Lyrics,http://www.metrolyrics.com/radio-free-europe-lyrics-rem.html,2011,width:50.792524653759%;,50
14,Drive Lyrics,http://www.metrolyrics.com/drive-lyrics-rem.html,2006,width:47.484428652143%;,47
15,Find The River Lyrics,http://www.metrolyrics.com/find-the-river-lyrics-rem.html,2014,width:43.510638207939%;,43
16,Shiny Happy People Lyrics,http://www.metrolyrics.com/shiny-happy-people-lyrics-rem.html,2011,width:43.510638207939%;,43
17,Future 40's (string Of Pearls) Lyrics,http://www.metrolyrics.com/future-40s-string-of-pearls-lyrics-rem.html,2006,width:41.178234363408%;,41
18,Uberlin Lyrics,http://www.metrolyrics.com/uberlin-lyrics-rem.html,2011,width:41.178234363408%;,41
19,These Days Lyrics,http://www.metrolyrics.com/these-days-lyrics-rem.html,2006,width:38.533972973918%;,38
20,Imitation Of Life Lyrics,http://www.metrolyrics.com/imitation-of-life-lyrics-rem.html,2003,width:38.533972973918%;,38
21,Crush With Eyeliner Lyrics,http://www.metrolyrics.com/crush-with-eyeliner-lyrics-rem.html,2006,width:38.533972973918%;,38
22,It's The End of The World as We Know It Lyrics,http://www.metrolyrics.com/its-the-end-of-the-world-as-we-know-it-lyrics-rem.html,2008,width:38.533972973918%;,38
23,The Sidewinder Sleeps Tonite Lyrics,http://www.metrolyrics.com/the-sidewinder-sleeps-tonite-lyrics-rem.html,2003,width:35.481397225105%;,35
24,E-bow The Letter Lyrics,http://www.metrolyrics.com/ebow-the-letter-lyrics-rem.html,2003,width:35.481397225105%;,35
25,Daysleeper Lyrics,http://www.metrolyrics.com/daysleeper-lyrics-rem.html,2003,width:35.481397225105%;,35
26,Ignoreland Lyrics,http://www.metrolyrics.com/ignoreland-lyrics-rem.html,2006,width:35.481397225105%;,35
27,Strange Currencies Lyrics,http://www.metrolyrics.com/strange-currencies-lyrics-rem.html,2006,width:35.481397225105%;,35
28,Bad Day Lyrics,http://www.metrolyrics.com/bad-day-lyrics-rem.html,2003,width:35.481397225105%;,35
29,Shaking Through Lyrics,http://www.metrolyrics.com/shaking-through-lyrics-rem.html,2006,width:31.870966422084%;,31
30,Country Feedback Lyrics,http://www.metrolyrics.com/country-feedback-lyrics-rem.html,2011,width:31.870966422084%;,31
31,Stand Lyrics,http://www.metrolyrics.com/stand-lyrics-rem.html,2003,width:31.870966422084%;,31
32,Leaving New York Lyrics,http://www.metrolyrics.com/leaving-new-york-lyrics-rem.html,2004,width:31.870966422084%;,31
33,Driver 8 Lyrics,http://www.metrolyrics.com/driver-8-lyrics-rem.html,2011,width:27.452156242272%;,27
34,Begin The Begin Lyrics,http://www.metrolyrics.com/begin-the-begin-lyrics-rem.html,2011,width:27.452156242272%;,27
35,Love Is All Around Lyrics,http://www.metrolyrics.com/love-is-all-around-lyrics-rem.html,2014,width:27.452156242272%;,27
36,Electrolite Lyrics,http://www.metrolyrics.com/electrolite-lyrics-rem.html,2003,width:27.452156242272%;,27
37,Bang And Blame Lyrics,http://www.metrolyrics.com/bang-and-blame-lyrics-rem.html,2006,width:27.452156242272%;,27
38,Crazy Lyrics,http://www.metrolyrics.com/crazy-lyrics-rem.html,2006,width:27.452156242272%;,27
39,Let Me In Lyrics,http://www.metrolyrics.com/let-me-in-lyrics-rem.html,2006,width:27.452156242272%;,27
40,Bittersweet Me Lyrics,http://www.metrolyrics.com/bittersweet-me-lyrics-rem.html,2006,width:27.452156242272%;,27
41,Superman Lyrics,http://www.metrolyrics.com/superman-lyrics-rem.html,2006,width:27.452156242272%;,27
42,Living Well Is The Best Revenge Lyrics,http://www.metrolyrics.com/living-well-is-the-best-revenge-lyrics-rem.html,2008,width:27.452156242272%;,27
43,Hollow Man Lyrics,http://www.metrolyrics.com/hollow-man-lyrics-rem.html,2008,width:27.452156242272%;,27
44,Gardening At Night Lyrics,http://www.metrolyrics.com/gardening-at-night-lyrics-rem.html,2011,width:21.755319103969%;,21
45,Strange (wire) Lyrics,http://www.metrolyrics.com/strange-wire-lyrics-rem.html,2008,width:21.755319103969%;,21
46,Fretless Lyrics,http://www.metrolyrics.com/fretless-lyrics-rem.html,2014,width:21.755319103969%;,21
47,Try Not To Breathe Lyrics,http://www.metrolyrics.com/try-not-to-breathe-lyrics-rem.html,2006,width:21.755319103969%;,21
48,Sweetness Follows Lyrics,http://www.metrolyrics.com/sweetness-follows-lyrics-rem.html,2006,width:21.755319103969%;,21
49,Pop Song 89 Lyrics,http://www.metrolyrics.com/pop-song-89-lyrics-rem.html,2011,width:21.755319103969%;,21
50,Me In Honey Lyrics,http://www.metrolyrics.com/me-in-honey-lyrics-rem.html,2006,width:21.755319103969%;,21
51,Talk About The Passion Lyrics,http://www.metrolyrics.com/talk-about-the-passion-lyrics-rem.html,2011,width:21.755319103969%;,21
52,Turn You Inside-out Lyrics,http://www.metrolyrics.com/turn-you-insideout-lyrics-rem.html,2006,width:21.755319103969%;,21
53,I Believe Lyrics,http://www.metrolyrics.com/i-believe-lyrics-rem.html,2006,width:21.755319103969%;,21
54,Beat A Drum Lyrics,http://www.metrolyrics.com/beat-a-drum-lyrics-rem.html,2014,width:21.755319103969%;,21
55,Horse To Water Lyrics,http://www.metrolyrics.com/horse-to-water-lyrics-rem.html,2008,width:21.755319103969%;,21
56,Catapult Lyrics,http://www.metrolyrics.com/catapult-lyrics-rem.html,2006,width:13.726078121136%;,13
57,Pretty Persuasion Lyrics,http://www.metrolyrics.com/pretty-persuasion-lyrics-rem.html,2006,width:13.726078121136%;,13
58,Camera Lyrics,http://www.metrolyrics.com/camera-lyrics-rem.html,2006,width:13.726078121136%;,13
59,Green Grow The Rushes Lyrics,http://www.metrolyrics.com/green-grow-the-rushes-lyrics-rem.html,2006,width:13.726078121136%;,13
